id,Time,LOAD,ELONGATION,TIME,EXTENSION
1, 2025-04-04 15:11:56,0.01,9.2298,0.1,0
2, 2025-04-04 15:11:56,0.01,9.2298,0.2,0
3, 2025-04-04 15:11:56,0.01,9.2298,0.3,0
4, 2025-04-04 15:11:57,0.09,0.0025,0.3,0
5, 2025-04-04 15:11:57,1.106,0.0227,0.6,0
6, 2025-04-04 15:11:57,2.011,0.0328,0.8,0
7, 2025-04-04 15:11:57,2.322,0.0429,0.9,0
9, 2025-04-04 15:11:57,2.684,0.0631,1.1,0
10, 2025-04-04 15:11:57,2.986,0.0808,1.3,0
11, 2025-04-04 15:11:58,3.368,0.0985,1.5,0
12, 2025-04-04 15:11:58,3.891,0.1162,1.7,0
13, 2025-04-04 15:11:58,5.368,0.1263,1.9,0
14, 2025-04-04 15:11:58,11.219,0.1439,2.1,0
15, 2025-04-04 15:11:58,20.901,0.1616,2.4,0
16, 2025-04-04 15:11:59,28.189,0.1793,2.6,0
17, 2025-04-04 15:11:59,37.117,0.1894,2.6,0
18, 2025-04-04 15:11:59,47.21,0.1982,2.7,0
19, 2025-04-04 15:11:59,68.272,0.2159,2.9,0
20, 2025-04-04 15:11:59,88.036,0.2336,3.1,0
21, 2025-04-04 15:11:59,105.559,0.2513,3.3,0
22, 2025-04-04 15:12:00,129.536,0.2601,3.5,0
23, 2025-04-04 15:12:00,145.239,0.279,3.8,0
24, 2025-04-04 15:12:00,145.239,0.2891,3.8,0
25, 2025-04-04 15:12:00,153.071,0.2992,3.9,0
26, 2025-04-04 15:12:00,168.633,0.3182,4.1,0
27, 2025-04-04 15:12:01,183.723,0.3359,4.3,0
28, 2025-04-04 15:12:01,205.087,0.3447,4.5,0
29, 2025-04-04 15:12:01,218.648,0.3636,4.8,0
30, 2025-04-04 15:12:01,225.223,0.3725,4.9,0
31, 2025-04-04 15:12:01,231.627,0.3813,5,0
32, 2025-04-04 15:12:01,231.627,0.3914,5.1,0
33, 2025-04-04 15:12:01,249.663,0.4104,5.2,0
34, 2025-04-04 15:12:02,260.983,0.4293,5.5,0
35, 2025-04-04 15:12:02,272.102,0.4407,5.7,0
36, 2025-04-04 15:12:02,277.591,0.4508,5.8,0
37, 2025-04-04 15:12:02,277.591,0.4596,5.9,0
38, 2025-04-04 15:12:02,288.217,0.4697,5.9,0
39, 2025-04-04 15:12:02,298.391,0.4886,6.2,0
40, 2025-04-04 15:12:02,303.387,0.4886,6.3,0
41, 2025-04-04 15:12:03,308.364,0.4987,6.4,0
42, 2025-04-04 15:12:03,318.256,0.5177,6.6,0
43, 2025-04-04 15:12:03,328.028,0.5265,6.7,0
44, 2025-04-04 15:12:03,328.028,0.5354,6.8,0
45, 2025-04-04 15:12:03,342.776,0.5644,7.1,0
46, 2025-04-04 15:12:03,352.779,0.5758,7.3,0
47, 2025-04-04 15:12:04,367.949,0.5947,7.5,0
48, 2025-04-04 15:12:04,378.234,0.6124,7.7,0
49, 2025-04-04 15:12:04,383.451,0.6313,7.9,0
50, 2025-04-04 15:12:04,393.997,0.6528,8.1,0
51, 2025-04-04 15:12:05,410.072,0.6629,8.4,0
52, 2025-04-04 15:12:05,415.511,0.673,8.5,0
53, 2025-04-04 15:12:05,420.98,0.6818,8.6,0
