id,Time,LOAD,ELONGATION,TIME,EXTENSION
1, 2025-04-03 15:42:55,0.121,0.0013,0.1,0
2, 2025-04-03 15:42:55,0.121,0.0101,0.1,0
3, 2025-04-03 15:42:56,1.086,0.029,0.3,0
4, 2025-04-03 15:42:56,6.585,0.0467,0.6,0
5, 2025-04-03 15:42:56,14.276,0.0556,0.8,0
6, 2025-04-03 15:42:56,19.061,0.0732,1,0
7, 2025-04-03 15:42:56,19.533,0.0896,1.2,0
10, 2025-04-03 15:42:57,19.614,0.1162,1.5,0
11, 2025-04-03 15:42:57,19.684,0.125,1.6,0
12, 2025-04-03 15:42:57,19.684,0.1338,1.7,0
13, 2025-04-03 15:42:57,19.745,0.1439,1.7,0
14, 2025-04-03 15:42:57,19.805,0.1528,1.8,0
15, 2025-04-03 15:42:57,19.936,0.1717,2.1,0
16, 2025-04-03 15:42:57,20.177,0.1717,2.2,0
17, 2025-04-03 15:42:57,20.388,0.1831,2.3,0
18, 2025-04-03 15:42:58,20.388,0.1932,2.4,0
19, 2025-04-03 15:42:58,20.81,0.202,2.4,0
20, 2025-04-03 15:42:58,24.108,0.2222,2.7,0
21, 2025-04-03 15:42:58,33.407,0.2311,2.8,0
22, 2025-04-03 15:42:58,40.706,0.2311,2.9,0
23, 2025-04-03 15:42:58,49.321,0.2399,3,0
24, 2025-04-03 15:42:58,58.681,0.25,3.1,0
25, 2025-04-03 15:42:58,68.262,0.2702,3.2,0
26, 2025-04-03 15:42:59,94.631,0.2904,3.5,0
27, 2025-04-03 15:42:59,108.686,0.3018,3.7,0
28, 2025-04-03 15:42:59,114.969,0.3207,3.8,0
29, 2025-04-03 15:42:59,133.919,0.3384,4.1,0
30, 2025-04-03 15:42:59,147.853,0.3573,4.3,0
31, 2025-04-03 15:43:00,162.672,0.3674,4.5,0
32, 2025-04-03 15:43:00,170.373,0.3876,4.7,0
33, 2025-04-03 15:43:00,194.299,0.4078,4.9,0
34, 2025-04-03 15:43:00,210.757,0.4192,5.1,0
35, 2025-04-03 15:43:00,227.737,0.4381,5.4,0
36, 2025-04-03 15:43:01,236.423,0.4482,5.4,0
37, 2025-04-03 15:43:01,253.976,0.4659,5.6,0
38, 2025-04-03 15:43:01,271.498,0.4747,5.8,0
39, 2025-04-03 15:43:01,288.941,0.4924,6.1,0
40, 2025-04-03 15:43:01,306.092,0.5101,6.3,0
41, 2025-04-03 15:43:02,329.455,0.5278,6.5,0
42, 2025-04-03 15:43:02,336.543,0.5366,6.6,0
43, 2025-04-03 15:43:02,336.543,0.5467,6.6,0
44, 2025-04-03 15:43:02,343.439,0.5556,6.7,0
45, 2025-04-03 15:43:02,350.276,0.5644,6.8,0
46, 2025-04-03 15:43:02,363.838,0.5821,7,0
47, 2025-04-03 15:43:02,376.826,0.5997,7.2,0
48, 2025-04-03 15:43:03,389.031,0.6174,7.5,0
